-----------------------------------------------

data base for temperature anomalies (2009)
author: 
Dipl.-Ing. Robert Sitzenfrei
robert.sitzenfrei@uibk.ac.at

-----------------------------------------------

     I(m/m)   kf(m/s)    kfHzuV(-)    Q(m3/s    TempR(°C)    BD(h)    Disp(m)     L(m)       B(m)     Bhyd(m)     v(m/s)
  0.003000   0.000500         10   0.000500          5       2000          1  95.998790 114.000000  13.333333   0.000002
  0.003000   0.000500          2   0.000500          5       2000          1 105.101548 114.000000  13.333333   0.000002
  0.000250   0.050000         10   0.000500          7       2000          1  91.034982  13.014397   1.600000   0.000013
  0.000250   0.050000          2   0.000500          7       2000          1  51.411723   8.436805   1.600000   0.000013
  0.000250   0.005000         10   0.000500          7       2000          1  61.660360  33.698232  16.000000   0.000001
  0.000250   0.005000          2   0.000500          7       2000          1  57.706152  26.661970  16.000000   0.000001
  0.000250   0.000500         10   0.000500          7       2000          1  34.443956  51.669622 160.000000   0.000000
  0.000250   0.000500          2   0.000500          7       2000          1  32.869243  44.179376 160.000000   0.000000
  0.001000   0.050000         10   0.000500          7       2000          1  99.939708   3.999227   0.400000   0.000050
  0.001000   0.050000          2   0.000500          7       2000          1  65.447743   3.610556   0.400000   0.000050
  0.001000   0.005000         10   0.000500          7       2000          1  64.508827  21.609091   4.000000   0.000005
  0.001000   0.005000          2   0.000500          7       2000          1  71.894353  16.644731   4.000000   0.000005
  0.001000   0.000500         10   0.000500          7       2000          1  51.788030  39.056510  40.000000   0.000000
  0.001000   0.000500          2   0.000500          7       2000          1  56.179022  32.806667  40.000000   0.000000
  0.002000   0.050000         10   0.000500          7       2000          1  51.846083   2.468346   0.200000   0.000100
  0.002000   0.050000          2   0.000500          7       2000          1  48.200064   2.394605   0.200000   0.000100
  0.002000   0.005000         10   0.000500          7       2000          1  83.299445  15.861955   2.000000   0.000010
  0.002000   0.005000          2   0.000500          7       2000          1  91.507054  12.407679   2.000000   0.000010
  0.002000   0.000500         10   0.000500          7       2000          1  67.601775  35.481416  20.000000   0.000001
  0.002000   0.000500          2   0.000500          7       2000          1  59.682493  27.497917  20.000000   0.000001
  0.003000   0.050000         10   0.000500          7       2000          1  40.891323   1.594809   0.133333   0.000150
  0.003000   0.050000          2   0.000500          7       2000          1  40.852572   1.590731   0.133333   0.000150
  0.003000   0.005000         10   0.000500          7       2000          1  97.465876  12.423689   1.333333   0.000015
  0.003000   0.005000          2   0.000500          7       2000          1 110.203585   9.217781   1.333333   0.000015
  0.003000   0.000500         10   0.000500          7       2000          1  61.660360  33.516089  13.333333   0.000002
  0.003000   0.000500          2   0.000500          7       2000          1  57.706152  27.821449  13.333333   0.000002
  0.000250   0.050000         10   0.000750          5       2000          1 159.895604  18.436211   2.400000   0.000013
  0.000250   0.050000          2   0.000750          5       2000          1 105.998303  12.273984   2.400000   0.000013
  0.000250   0.005000         10   0.000750          5       2000          1 143.910403  90.000000  24.000000   0.000001
  0.000250   0.005000          2   0.000750          5       2000          1 103.586282  94.000000  24.000000   0.000001
  0.000250   0.000500         10   0.000750          5       2000          1  49.995079  73.495333 200.000000   0.000000
  0.000250   0.000500          2   0.000750          5       2000          1  48.834647  62.018228 200.000000   0.000000
  0.001000   0.050000         10   0.000750          5       2000          1 168.167006   8.925211   0.600000   0.000050
  0.001000   0.050000          2   0.000750          5       2000          1 150.515048   7.585553   0.600000   0.000050
  0.001000   0.005000         10   0.000750          5       2000          1 144.537985  34.830333   6.000000   0.000005
  0.001000   0.005000          2   0.000750          5       2000          1 151.524727  24.363866   6.000000   0.000005
  0.001000   0.000500         10   0.000750          5       2000          1 113.209955  56.759876  60.000000   0.000000
  0.001000   0.000500          2   0.000750          5       2000          1 119.160822  47.381420  60.000000   0.000000
  0.002000   0.050000         10   0.000750          5       2000          1 161.422785   5.279340   0.300000   0.000100
  0.002000   0.050000          2   0.000750          5       2000          1 148.203510   3.938982   0.300000   0.000100
  0.002000   0.005000         10   0.000750          5       2000          1 159.546874  26.711045   3.000000   0.000010
  0.002000   0.005000          2   0.000750          5       2000          1 163.078468  18.140909   3.000000   0.000010
  0.002000   0.000500         10   0.000750          5       2000          1 131.530587  46.309574  30.000000   0.000001
  0.002000   0.000500          2   0.000750          5       2000          1 140.740952  54.000000  30.000000   0.000001
  0.003000   0.050000         10   0.000750          5       2000          1 151.556826   3.526992   0.200000   0.000150
  0.003000   0.050000          2   0.000750          5       2000          1 133.256176   3.351634   0.200000   0.000150
  0.003000   0.005000         10   0.000750          5       2000          1 165.655853  19.179483   2.000000   0.000015
  0.003000   0.005000          2   0.000750          5       2000          1 167.715477  16.196094   2.000000   0.000015
  0.003000   0.000500         10   0.000750          5       2000          1 139.930336 118.000000  20.000000   0.000002
  0.003000   0.000500          2   0.000750          5       2000          1 148.139352 114.000000  20.000000   0.000002
  0.000250   0.050000         10   0.000750          7       2000          1 113.364308  16.313553   2.400000   0.000013
  0.000250   0.050000          2   0.000750          7       2000          1  73.121387  10.205208   2.400000   0.000013
  0.000250   0.005000         10   0.000750          7       2000          1  65.620119  38.265853  24.000000   0.000001
  0.000250   0.005000          2   0.000750          7       2000          1  56.745169  30.278344  24.000000   0.000001
  0.000250   0.000500         10   0.000750          7       2000          1  41.366527  62.732055 200.000000   0.000000
  0.000250   0.000500          2   0.000750          7       2000          1  39.341164  54.176727 200.000000   0.000000
  0.001000   0.050000         10   0.000750          7       2000          1 146.353702   6.730321   0.600000   0.000050
  0.001000   0.050000          2   0.000750          7       2000          1  98.512900   5.456150   0.600000   0.000050
  0.001000   0.005000         10   0.000750          7       2000          1  80.126506  29.382993   6.000000   0.000005
  0.001000   0.005000          2   0.000750          7       2000          1  87.427235  19.003860   6.000000   0.000005
  0.001000   0.000500         10   0.000750          7       2000          1  59.655341  48.407793  60.000000   0.000000
  0.001000   0.000500          2   0.000750          7       2000          1  67.954490  36.440467  60.000000   0.000000
  0.002000   0.050000         10   0.000750          7       2000          1  96.598447   3.340114   0.300000   0.000100
  0.002000   0.050000          2   0.000750          7       2000          1  83.265558   3.147881   0.300000   0.000100
  0.002000   0.005000         10   0.000750          7       2000          1 111.369675  19.032000   3.000000   0.000010
  0.002000   0.005000          2   0.000750          7       2000          1 124.179570  15.597667   3.000000   0.000010
  0.002000   0.000500         10   0.000750          7       2000          1  69.309884  86.000000  30.000000   0.000001
  0.002000   0.000500          2   0.000750          7       2000          1  71.013647  86.000000  30.000000   0.000001
  0.003000   0.050000         10   0.000750          7       2000          1  59.538095   2.481181   0.200000   0.000150
  0.003000   0.050000          2   0.000750          7       2000          1  57.333062   2.399224   0.200000   0.000150
  0.003000   0.005000         10   0.000750          7       2000          1 123.997259  16.128759   2.000000   0.000015
  0.003000   0.005000          2   0.000750          7       2000          1 136.620297  12.779565   2.000000   0.000015
  0.003000   0.000500         10   0.000750          7       2000          1  65.620119  37.749213  20.000000   0.000002
  0.003000   0.000500          2   0.000750          7       2000          1  68.871615  32.567657  20.000000   0.000002
  0.000250   0.050000         10   0.001000          5       2000          1 166.280620  20.605102   3.200000   0.000013
  0.000250   0.050000          2   0.001000          5       2000          1 121.565633  15.080328   3.200000   0.000013
  0.000250   0.005000         10   0.001000          5       2000          1 168.365872  78.000000  32.000000   0.000001
  0.000250   0.005000          2   0.001000          5       2000          1 128.807533  74.000000  32.000000   0.000001
  0.000250   0.000500         10   0.001000          5       2000          1  63.219968  80.453333 200.000000   0.000000
  0.000250   0.000500          2   0.001000          5       2000          1  59.557877  70.920741 200.000000   0.000000
  0.001000   0.050000         10   0.001000          5       2000          1 173.340579  10.621354   0.800000   0.000050
  0.001000   0.050000          2   0.001000          5       2000          1 157.924225   8.600063   0.800000   0.000050
  0.001000   0.005000         10   0.001000          5       2000          1 156.924936  37.665300   8.000000   0.000005
  0.001000   0.005000          2   0.001000          5       2000          1 158.463317  30.053143   8.000000   0.000005
  0.001000   0.000500         10   0.001000          5       2000          1 119.429874  67.531859  80.000000   0.000000
  0.001000   0.000500          2   0.001000          5       2000          1 129.029746  48.485310  80.000000   0.000000
  0.002000   0.050000         10   0.001000          5       2000          1 168.647052   7.106360   0.400000   0.000100
  0.002000   0.050000          2   0.001000          5       2000          1 158.313812   5.852146   0.400000   0.000100
  0.002000   0.005000         10   0.001000          5       2000          1 165.514276  31.785684   4.000000   0.000010
  0.002000   0.005000          2   0.001000          5       2000          1 169.033204  19.568602   4.000000   0.000010
  0.002000   0.000500         10   0.001000          5       2000          1 153.789942  55.885047  40.000000   0.000001
  0.002000   0.000500          2   0.001000          5       2000          1 165.095983  58.000000  40.000000   0.000001
  0.003000   0.050000         10   0.001000          5       2000          1 161.188697   4.454043   0.266667   0.000150
  0.003000   0.050000          2   0.001000          5       2000          1 154.524197   3.788398   0.266667   0.000150
  0.003000   0.005000         10   0.001000          5       2000          1 170.954058  24.952727   2.666667   0.000015
  0.003000   0.005000          2   0.001000          5       2000          1 172.852909  17.855630   2.666667   0.000015
  0.003000   0.000500         10   0.001000          5       2000          1 187.098992  90.000000  26.666667   0.000002
  0.003000   0.000500          2   0.001000          5       2000          1 202.582159 102.000000  26.666667   0.000002
  0.000250   0.050000         10   0.001000          7       2000          1 133.916643  18.320807   3.200000   0.000013
  0.000250   0.050000          2   0.001000          7       2000          1  87.817036  13.330985   3.200000   0.000013
  0.000250   0.005000         10   0.001000          7       2000          1  78.433083  90.000000  32.000000   0.000001
  0.000250   0.005000          2   0.001000          7       2000          1  72.600805  35.226154  32.000000   0.000001
  0.000250   0.000500         10   0.001000          7       2000          1  45.217037  71.156279 200.000000   0.000000
  0.000250   0.000500          2   0.001000          7       2000          1  43.531357  59.994955 200.000000   0.000000
  0.001000   0.050000         10   0.001000          7       2000          1 157.320116   8.256323   0.800000   0.000050
  0.001000   0.050000          2   0.001000          7       2000          1 126.996792   6.930887   0.800000   0.000050
  0.001000   0.005000         10   0.001000          7       2000          1  95.392564  32.971905   8.000000   0.000005
  0.001000   0.005000          2   0.001000          7       2000          1 107.840583  23.743750   8.000000   0.000005
  0.001000   0.000500         10   0.001000          7       2000          1  74.169561  54.107899  80.000000   0.000000
  0.001000   0.000500          2   0.001000          7       2000          1  76.598702  38.424328  80.000000   0.000000
  0.002000   0.050000         10   0.001000          7       2000          1 136.865788   4.070610   0.400000   0.000100
  0.002000   0.050000          2   0.001000          7       2000          1 112.953785   3.678660   0.400000   0.000100
  0.002000   0.005000         10   0.001000          7       2000          1 130.208416  24.595398   4.000000   0.000010
  0.002000   0.005000          2   0.001000          7       2000          1 145.654410  17.331152   4.000000   0.000010
  0.002000   0.000500         10   0.001000          7       2000          1  89.455014  58.000000  40.000000   0.000001
  0.002000   0.000500          2   0.001000          7       2000          1  92.331990  39.087013  40.000000   0.000001
  0.003000   0.050000         10   0.001000          7       2000          1  92.784186   3.090136   0.266667   0.000150
  0.003000   0.050000          2   0.001000          7       2000          1  87.860763   2.948869   0.266667   0.000150
  0.003000   0.005000         10   0.001000          7       2000          1 149.889480  18.364898   2.666667   0.000015
  0.003000   0.005000          2   0.001000          7       2000          1 154.348501  15.067887   2.666667   0.000015
  0.003000   0.000500         10   0.001000          7       2000          1  82.017400  44.788291  26.666667   0.000002
  0.003000   0.000500          2   0.001000          7       2000          1  87.674381  35.431638  26.666667   0.000002
  0.000250   0.050000         10   0.000500          5       4000          1 158.909742  15.998216   1.600000   0.000013
  0.000250   0.050000          2   0.000500          5       4000          1  85.472751   9.265126   1.600000   0.000013
  0.000250   0.005000         10   0.000500          5       4000          1 152.895475  74.000000  16.000000   0.000001
  0.000250   0.005000          2   0.000500          5       4000          1 120.900939  94.000000  16.000000   0.000001
  0.000250   0.000500         10   0.000500          5       4000          1  62.352265  69.942938 160.000000   0.000000
  0.000250   0.000500          2   0.000500          5       4000          1  60.667282  60.848787 160.000000   0.000000
  0.001000   0.050000         10   0.000500          5       4000          1 160.851210   7.020072   0.400000   0.000050
  0.001000   0.050000          2   0.000500          5       4000          1 116.590126   5.446724   0.400000   0.000050
  0.001000   0.005000         10   0.000500          5       4000          1 158.089116  30.348706   4.000000   0.000005
  0.001000   0.005000          2   0.000500          5       4000          1 158.463317  18.828617   4.000000   0.000005
  0.001000   0.000500         10   0.000500          5       4000          1  97.581716  54.892708  40.000000   0.000000
  0.001000   0.000500          2   0.000500          5       4000          1  99.310008  45.995000  40.000000   0.000000
  0.002000   0.050000         10   0.000500          5       4000          1 142.782401   3.526992   0.200000   0.000100
  0.002000   0.050000          2   0.000500          5       4000          1 103.917843   3.328342   0.200000   0.000100
  0.002000   0.005000         10   0.000500          5       4000          1 165.773566  18.980708   2.000000   0.000010
  0.002000   0.005000          2   0.000500          5       4000          1 166.528555  15.890054   2.000000   0.000010
  0.002000   0.000500         10   0.000500          5       4000          1 162.881402  46.765852  20.000000   0.000001
  0.002000   0.000500          2   0.000500          5       4000          1 169.095981  38.606806  20.000000   0.000001
  0.003000   0.050000         10   0.000500          5       4000          1  97.165357   2.761257   0.133333   0.000150
  0.003000   0.050000          2   0.000500          5       4000          1  86.054554   2.666037   0.133333   0.000150
  0.003000   0.005000         10   0.000500          5       4000          1 168.388067  16.475227   1.333333   0.000015
  0.003000   0.005000          2   0.000500          5       4000          1 169.163567  12.819839   1.333333   0.000015
  0.003000   0.000500         10   0.000500          5       4000          1 153.789488  66.000000  13.333333   0.000002
  0.003000   0.000500          2   0.000500          5       4000          1 157.124044  94.000000  13.333333   0.000002
  0.000250   0.050000         10   0.000500          7       4000          1 119.931002  13.014397   1.600000   0.000013
  0.000250   0.050000          2   0.000500          7       4000          1  52.882268   8.436805   1.600000   0.000013
  0.000250   0.005000         10   0.000500          7       4000          1  83.281198 114.000000  16.000000   0.000001
  0.000250   0.005000          2   0.000500          7       4000          1  69.462940  28.271310  16.000000   0.000001
  0.000250   0.000500         10   0.000500          7       4000          1  42.548172  61.631273 160.000000   0.000000
  0.000250   0.000500          2   0.000500          7       4000          1  39.802050  53.396779 160.000000   0.000000
  0.001000   0.050000         10   0.000500          7       4000          1 104.452070   3.999227   0.400000   0.000050
  0.001000   0.050000          2   0.000500          7       4000          1  65.447743   3.610556   0.400000   0.000050
  0.001000   0.005000         10   0.000500          7       4000          1  99.926788  22.711456   4.000000   0.000005
  0.001000   0.005000          2   0.000500          7       4000          1 108.549705  16.744940   4.000000   0.000005
  0.001000   0.000500         10   0.000500          7       4000          1  81.985960  47.889474  40.000000   0.000000
  0.001000   0.000500          2   0.000500          7       4000          1  85.172126  37.759211  40.000000   0.000000
  0.002000   0.050000         10   0.000500          7       4000          1  51.846083   2.468346   0.200000   0.000100
  0.002000   0.050000          2   0.000500          7       4000          1  48.503759   2.394605   0.200000   0.000100
  0.002000   0.005000         10   0.000500          7       4000          1 127.209782  15.892836   2.000000   0.000010
  0.002000   0.005000          2   0.000500          7       4000          1 135.639799  12.429279   2.000000   0.000010
  0.002000   0.000500         10   0.000500          7       4000          1  84.486050  40.798394  20.000000   0.000001
  0.002000   0.000500          2   0.000500          7       4000          1  92.453939  86.000000  20.000000   0.000001
  0.003000   0.050000         10   0.000500          7       4000          1  40.891323   1.594809   0.133333   0.000150
  0.003000   0.050000          2   0.000500          7       4000          1  40.891323   1.590731   0.133333   0.000150
  0.003000   0.005000         10   0.000500          7       4000          1 139.418700  12.496538   1.333333   0.000015
  0.003000   0.005000          2   0.000500          7       4000          1 146.997147   9.223143   1.333333   0.000015
  0.003000   0.000500         10   0.000500          7       4000          1  81.999180 114.000000  13.333333   0.000002
  0.003000   0.000500          2   0.000500          7       4000          1  90.735770 102.000000  13.333333   0.000002
  0.000250   0.050000         10   0.000750          5       4000          1 168.424692  18.442296   2.400000   0.000013
  0.000250   0.050000          2   0.000750          5       4000          1 112.396880  12.273984   2.400000   0.000013
  0.000250   0.005000         10   0.000750          5       4000          1 207.967720  52.157065  24.000000   0.000001
  0.000250   0.005000          2   0.000750          5       4000          1 191.905658  70.000000  24.000000   0.000001
  0.000250   0.000500         10   0.000750          5       4000          1  72.118261  85.813091 200.000000   0.000000
  0.000250   0.000500          2   0.000750          5       4000          1  69.182418  75.195520 200.000000   0.000000
  0.001000   0.050000         10   0.000750          5       4000          1 170.190958   8.925211   0.600000   0.000050
  0.001000   0.050000          2   0.000750          5       4000          1 150.532216   7.585553   0.600000   0.000050
  0.001000   0.005000         10   0.000750          5       4000          1 167.375961  35.499116   6.000000   0.000005
  0.001000   0.005000          2   0.000750          5       4000          1 167.375961  24.872520   6.000000   0.000005
  0.001000   0.000500         10   0.000750          5       4000          1 131.150452  71.008594  60.000000   0.000000
  0.001000   0.000500          2   0.000750          5       4000          1 134.654837  55.410917  60.000000   0.000000
  0.002000   0.050000         10   0.000750          5       4000          1 162.050758   5.279340   0.300000   0.000100
  0.002000   0.050000          2   0.000750          5       4000          1 149.925003   3.938982   0.300000   0.000100
  0.002000   0.005000         10   0.000750          5       4000          1 173.320465  26.957630   3.000000   0.000010
  0.002000   0.005000          2   0.000750          5       4000          1 174.094499  18.180435   3.000000   0.000010
  0.002000   0.000500         10   0.000750          5       4000          1 198.532429  59.441862  30.000000   0.000001
  0.002000   0.000500          2   0.000750          5       4000          1 213.973193  54.000000  30.000000   0.000001
  0.003000   0.050000         10   0.000750          5       4000          1 151.590305   3.526992   0.200000   0.000150
  0.003000   0.050000          2   0.000750          5       4000          1 133.256176   3.351634   0.200000   0.000150
  0.003000   0.005000         10   0.000750          5       4000          1 175.411721  19.191166   2.000000   0.000015
  0.003000   0.005000          2   0.000750          5       4000          1 175.965777  16.215803   2.000000   0.000015
  0.003000   0.000500         10   0.000750          5       4000          1 164.690333  94.000000  20.000000   0.000002
  0.003000   0.000500          2   0.000750          5       4000          1 166.999188  94.000000  20.000000   0.000002
  0.000250   0.050000         10   0.000750          7       4000          1 150.509569  16.337647   2.400000   0.000013
  0.000250   0.050000          2   0.000750          7       4000          1  73.121387  10.205208   2.400000   0.000013
  0.000250   0.005000         10   0.000750          7       4000          1 117.090069  54.000000  24.000000   0.000001
  0.000250   0.005000          2   0.000750          7       4000          1  98.859490  94.000000  24.000000   0.000001
  0.000250   0.000500         10   0.000750          7       4000          1  48.811584  75.724045 200.000000   0.000000
  0.000250   0.000500          2   0.000750          7       4000          1  47.180256  65.707013 200.000000   0.000000
  0.001000   0.050000         10   0.000750          7       4000          1 152.061437   6.730321   0.600000   0.000050
  0.001000   0.050000          2   0.000750          7       4000          1  99.941430   5.456150   0.600000   0.000050
  0.001000   0.005000         10   0.000750          7       4000          1 131.369104  30.130270   6.000000   0.000005
  0.001000   0.005000          2   0.000750          7       4000          1 142.360838  19.224107   6.000000   0.000005
  0.001000   0.000500         10   0.000750          7       4000          1  98.144034  57.493750  60.000000   0.000000
  0.001000   0.000500          2   0.000750          7       4000          1 106.515750  47.043885  60.000000   0.000000
  0.002000   0.050000         10   0.000750          7       4000          1  98.265058   3.340114   0.300000   0.000100
  0.002000   0.050000          2   0.000750          7       4000          1  83.265558   3.147881   0.300000   0.000100
  0.002000   0.005000         10   0.000750          7       4000          1 153.478965  19.100966   3.000000   0.000010
  0.002000   0.005000          2   0.000750          7       4000          1 156.989654  15.626821   3.000000   0.000010
  0.002000   0.000500         10   0.000750          7       4000          1 111.605853  45.873108  30.000000   0.000001
  0.002000   0.000500          2   0.000750          7       4000          1 123.853286  66.000000  30.000000   0.000001
  0.003000   0.050000         10   0.000750          7       4000          1  59.538095   2.481181   0.200000   0.000150
  0.003000   0.050000          2   0.000750          7       4000          1  57.333062   2.399224   0.200000   0.000150
  0.003000   0.005000         10   0.000750          7       4000          1 156.989654  16.201752   2.000000   0.000015
  0.003000   0.005000          2   0.000750          7       4000          1 159.981652  12.779565   2.000000   0.000015
  0.003000   0.000500         10   0.000750          7       4000          1 119.151186 102.000000  20.000000   0.000002
  0.003000   0.000500          2   0.000750          7       4000          1 130.689204 110.000000  20.000000   0.000002
  0.000250   0.050000         10   0.001000          5       4000          1 173.299857  20.605102   3.200000   0.000013
  0.000250   0.050000          2   0.001000          5       4000          1 146.073228  15.080328   3.200000   0.000013
  0.000250   0.005000         10   0.001000          5       4000          1 257.099409  60.282667  32.000000   0.000001
  0.000250   0.005000          2   0.001000          5       4000          1 225.725208  54.000000  32.000000   0.000001
  0.000250   0.000500         10   0.001000          5       4000          1  81.070398  92.545359 200.000000   0.000000
  0.000250   0.000500          2   0.001000          5       4000          1  78.820593  83.119167 200.000000   0.000000
  0.001000   0.050000         10   0.001000          5       4000          1 175.281616  10.621354   0.800000   0.000050
  0.001000   0.050000          2   0.001000          5       4000          1 158.152806   8.600063   0.800000   0.000050
  0.001000   0.005000         10   0.001000          5       4000          1 172.486734 122.000000   8.000000   0.000005
  0.001000   0.005000          2   0.001000          5       4000          1 171.961007  30.445393   8.000000   0.000005
  0.001000   0.000500         10   0.001000          5       4000          1 151.808247  78.803404  80.000000   0.000000
  0.001000   0.000500          2   0.001000          5       4000          1 162.086815  65.611236  80.000000   0.000000
  0.002000   0.050000         10   0.001000          5       4000          1 169.627717   7.106360   0.400000   0.000100
  0.002000   0.050000          2   0.001000          5       4000          1 158.942368   5.852146   0.400000   0.000100
  0.002000   0.005000         10   0.001000          5       4000          1 177.237422  32.017340   4.000000   0.000010
  0.002000   0.005000          2   0.001000          5       4000          1 178.227315  19.605857   4.000000   0.000010
  0.002000   0.000500         10   0.001000          5       4000          1 206.837561  62.461443  40.000000   0.000001
  0.002000   0.000500          2   0.001000          5       4000          1 227.085527  53.064659  40.000000   0.000001
  0.003000   0.050000         10   0.001000          5       4000          1 161.823580   4.454043   0.266667   0.000150
  0.003000   0.050000          2   0.001000          5       4000          1 155.080560   3.788398   0.266667   0.000150
  0.003000   0.005000         10   0.001000          5       4000          1 179.093885  25.117851   2.666667   0.000015
  0.003000   0.005000          2   0.001000          5       4000          1 179.941401  17.855630   2.666667   0.000015
  0.003000   0.000500         10   0.001000          5       4000          1 241.293766  62.000000  26.666667   0.000002
  0.003000   0.000500          2   0.001000          5       4000          1 248.968364  70.000000  26.666667   0.000002
  0.000250   0.050000         10   0.001000          7       4000          1 157.456940  18.331173   3.200000   0.000013
  0.000250   0.050000          2   0.001000          7       4000          1  94.931836  13.330985   3.200000   0.000013
  0.000250   0.005000         10   0.001000          7       4000          1 144.691793  74.000000  32.000000   0.000001
  0.000250   0.005000          2   0.001000          7       4000          1 124.133575  58.000000  32.000000   0.000001
  0.000250   0.000500         10   0.001000          7       4000          1  59.427117  84.124348 200.000000   0.000000
  0.000250   0.000500          2   0.001000          7       4000          1  55.933858  74.216000 200.000000   0.000000
  0.001000   0.050000         10   0.001000          7       4000          1 159.802591   8.256323   0.800000   0.000050
  0.001000   0.050000          2   0.001000          7       4000          1 129.080038   6.930887   0.800000   0.000050
  0.001000   0.005000         10   0.001000          7       4000          1 152.040185  33.716744   8.000000   0.000005
  0.001000   0.005000          2   0.001000          7       4000          1 155.319366  24.515478   8.000000   0.000005
  0.001000   0.000500         10   0.001000          7       4000          1  99.954334  67.420000  80.000000   0.000000
  0.001000   0.000500          2   0.001000          7       4000          1 112.741758  51.470370  80.000000   0.000000
  0.002000   0.050000         10   0.001000          7       4000          1 139.039607   4.070610   0.400000   0.000100
  0.002000   0.050000          2   0.001000          7       4000          1 113.542566   3.678660   0.400000   0.000100
  0.002000   0.005000         10   0.001000          7       4000          1 160.069210  24.730526   4.000000   0.000010
  0.002000   0.005000          2   0.001000          7       4000          1 163.397452  17.391758   4.000000   0.000010
  0.002000   0.000500         10   0.001000          7       4000          1 128.776370  54.553741  40.000000   0.000001
  0.002000   0.000500          2   0.001000          7       4000          1 143.570117  46.000000  40.000000   0.000001
  0.003000   0.050000         10   0.001000          7       4000          1  92.784186   3.090136   0.266667   0.000150
  0.003000   0.050000          2   0.001000          7       4000          1  88.265391   2.948869   0.266667   0.000150
  0.003000   0.005000         10   0.001000          7       4000          1 163.097434  18.377676   2.666667   0.000015
  0.003000   0.005000          2   0.001000          7       4000          1 165.893061  15.067887   2.666667   0.000015
  0.003000   0.000500         10   0.001000          7       4000          1 151.346987  74.000000  26.666667   0.000002
  0.003000   0.000500          2   0.001000          7       4000          1 172.887512  90.000000  26.666667   0.000002
  0.000250   0.050000         10   0.000500          5       2000         10  72.690497  14.997899   1.600000   0.000013
  0.000250   0.050000          2   0.000500          5       2000         10  51.788030   9.257835   1.600000   0.000013
  0.000250   0.005000         10   0.000500          5       2000         10  70.415728  36.678383  16.000000   0.000001
  0.000250   0.005000          2   0.000500          5       2000         10  61.660360  29.938960  16.000000   0.000001
  0.000250   0.000500         10   0.000500          5       2000         10  46.731967  61.252876 160.000000   0.000000
  0.000250   0.000500          2   0.000500          5       2000         10  44.541208  52.813880 160.000000   0.000000
  0.001000   0.050000         10   0.000500          5       2000         10  43.931765   5.531467   0.400000   0.000050
  0.001000   0.050000          2   0.000500          5       2000         10  41.976184   4.789363   0.400000   0.000050
  0.001000   0.005000         10   0.000500          5       2000         10  69.606793  25.848780   4.000000   0.000005
  0.001000   0.005000          2   0.000500          5       2000         10  73.038018  18.061257   4.000000   0.000005
  0.001000   0.000500         10   0.000500          5       2000         10  74.588566  49.625481  40.000000   0.000000
  0.001000   0.000500          2   0.000500          5       2000         10  77.619655  39.016765  40.000000   0.000000
  0.002000   0.050000         10   0.000500          5       2000         10  32.280025   2.541458   0.200000   0.000100
  0.002000   0.050000          2   0.000500          5       2000         10  32.280025   2.475333   0.200000   0.000100
  0.002000   0.005000         10   0.000500          5       2000         10  74.187122  17.481457   2.000000   0.000010
